EarthquakeKey,EarthquakeID,Year_Index,Month_Index,StationName,SiteClass,log_Pa,log_Pv,log_Pd,log_PGV
2022p480416KFHS,2022p480416,10,6,KFHS,C,-5.149047,-9.716178,-13.908723,-9.492703
2018p636538KHZ,2018p636538,6,8,KHZ,C,-6.883486,-10.785377,-13.747852,-10.371892
2013p011104PTOS,2013p011104,1,1,PTOS,C,-3.42936,-8.237862,-12.118062,-7.494363
2013p011104POKS,2013p011104,1,1,POKS,C,-3.107907,-7.839992,-12.127261,-5.729989
2013p011104LIRS,2013p011104,1,1,LIRS,C,-4.049085,-8.334089,-12.052494,-7.454094
2013p011104DAVS,2013p011104,1,1,DAVS,C,-3.82535,-7.763939,-11.587649,-6.817106
2021p057793MOSS,2021p057793,9,1,MOSS,C,-6.443237,-10.785377,-15.012839,-9.799128
2021p705596HAZ,2021p705596,9,9,HAZ,C,-4.716496,-8.023394,-11.266065,-6.310717
2017p384141MOSS,2017p384141,5,5,MOSS,C,-6.389034,-10.580761,-14.172186,-8.617655
2020p473434MOSS,2020p473434,8,6,MOSS,C,-6.502788,-10.976432,-15.081359,-11.01215
2021p214851SJFS,2021p214851,9,3,SJFS,C,-8.102114,-12.083855,-15.753453,-10.029051
2021p214851MOLS,2021p214851,9,3,MOLS,C,-7.064906,-11.399597,-15.302731,-9.451139
2014p730031WAZ,2014p730031,2,9,WAZ,C,-5.97907,-9.899496,-14.084698,-8.349981
2017p566693WAZ,2017p566693,5,7,WAZ,C,-4.073745,-8.203346,-11.72118,-6.733055
2021p209144HAZ,2021p209144,9,3,HAZ,C,-6.867525,-10.729024,-14.38644,-11.322305
2017p744856WAZ,2017p744856,5,10,WAZ,C,-7.803636,-11.169336,-14.12612,-9.00722
2017p592461KHZ,2017p592461,5,8,KHZ,C,-7.524216,-11.636224,-15.067274,-10.839981
2017p592461DSZ,2017p592461,5,8,DSZ,C,-7.853022,-11.939104,-14.837162,-9.397875
2019p029804MOSS,2019p029804,7,1,MOSS,C,-8.016639,-12.017107,-14.945614,-9.82838
2021p442690MOSS,2021p442690,9,6,MOSS,C,-6.549518,-11.127663,-15.424948,-8.963246
2019p360088MOSS,2019p360088,7,5,MOSS,C,-7.417986,-11.782113,-14.553655,-10.024526
2017p361817KHZ,2017p361817,5,5,KHZ,C,-8.835176,-12.624623,-16.888124,-10.908609
2017p361817MOLS,2017p361817,5,5,MOLS,C,-6.031645,-10.352905,-14.180794,-9.699731
2017p361817DSZ,2017p361817,5,5,DSZ,C,-8.467703,-12.230365,-15.50833,-11.338972
2017p365855MOSS,2017p365855,5,5,MOSS,C,-6.924761,-11.198115,-14.274376,-9.559898
2019p574171MOSS,2019p574171,7,8,MOSS,C,-6.323523,-10.588667,-14.324671,-10.015537
2020p066496WAZ,2020p066496,8,1,WAZ,C,-8.290133,-12.010506,-14.809763,-10.008848
2020p534288MOSS,2020p534288,8,7,MOSS,C,-6.481137,-10.600643,-14.213007,-9.675555
2015p484848WAZ,2015p484848,3,6,WAZ,C,-6.164729,-9.845219,-13.383728,-7.855124
2020p442164MOSS,2020p442164,8,6,MOSS,C,-4.818582,-9.370509,-13.390243,-10.144286
2019p773233WAZ,2019p773233,7,10,WAZ,C,-4.905714,-9.247004,-13.050043,-7.720402
2020p595479KHZ,2020p595479,8,8,KHZ,C,-5.315556,-9.036622,-12.356896,-8.530947
2020p595479SJFS,2020p595479,8,8,SJFS,C,-5.021437,-8.965067,-12.293812,-6.384456
2018p355410HAZ,2018p355410,6,5,HAZ,C,-7.078221,-10.892349,-14.356795,-10.381523
2021p314393HAZ,2021p314393,9,4,HAZ,C,-6.869891,-10.545942,-14.170758,-8.940283
2018p405914HAZ,2018p405914,6,5,HAZ,C,-5.293933,-9.519587,-13.450867,-9.458802
2019p896505MOSS,2019p896505,7,11,MOSS,C,-8.460553,-12.345335,-15.497519,-10.047358
2020p052496NLMS,2020p052496,8,1,NLMS,C,-6.881036,-9.820986,-12.236532,-8.667162
2013p633527KHZ,2013p633527,1,8,KHZ,C,-5.773789,-9.997798,-13.377256,-8.626718
2013p633527MOLS,2013p633527,1,8,MOLS,C,-3.420154,-7.607204,-11.652188,-5.669304
2015p477595WAZ,2015p477595,3,6,WAZ,C,-5.992997,-10.085009,-13.987486,-9.23874
2015p503404HAZ,2015p503404,3,7,HAZ,C,-7.270108,-11.258283,-14.079476,-10.542147
2018p454545NLMS,2018p454545,6,6,NLMS,C,-6.662204,-9.744776,-12.518047,-8.865333
2013p470706DSZ,2013p470706,1,6,DSZ,C,-7.955762,-11.80864,-14.948714,-10.306955
2020p920635MOLS,2020p920635,8,12,MOLS,C,-6.644579,-10.368703,-13.471921,-9.326874
2020p920635NLMS,2020p920635,8,12,NLMS,C,-7.075176,-10.035877,-15.106495,-9.097396
2021p152494HAZ,2021p152494,9,2,HAZ,C,-5.214227,-9.278619,-13.290782,-9.13722
2020p031337POKS,2020p031337,8,1,POKS,C,-7.532627,-10.941946,-13.078346,-9.551423
2018p112687KHZ,2018p112687,6,2,KHZ,C,-7.839137,-12.145919,-14.939441,-9.956888
2018p112687MOLS,2018p112687,6,2,MOLS,C,-5.758007,-10.08741,-14.172186,-8.894596
2021p871651HAZ,2021p871651,9,11,HAZ,C,-6.599688,-10.322038,-13.815511,-9.950579
2013p227990MKVS,2013p227990,1,3,MKVS,C,-5.466682,-9.648845,-13.383728,-7.73779
2017p855150HAZ,2017p855150,5,11,HAZ,C,-5.538359,-9.180209,-11.849798,-9.446063
2017p018294HAZ,2017p018294,5,1,HAZ,C,-6.673001,-10.633299,-13.795708,-9.627372
2020p920440HAZ,2020p920440,8,12,HAZ,C,-7.515095,-11.399597,-15.046512,-9.997798
2019p343424WAZ,2019p343424,7,5,WAZ,C,-6.835533,-10.733601,-13.934294,-9.675555
2022p167897HAZ,2022p167897,10,3,HAZ,C,-6.291107,-10.671358,-14.338071,-8.856323
2014p020708HAZ,2014p020708,2,1,HAZ,C,-7.872491,-11.643034,-14.980263,-10.375092
2016p941388KHZ,2016p941388,4,12,KHZ,C,-3.684281,-8.034205,-11.823535,-7.107231
2016p941388MOLS,2016p941388,4,12,MOLS,C,-5.140166,-8.890164,-12.345335,-8.579473
2022p571883MECS,2022p571883,10,7,MECS,C,-7.080894,-11.555833,-15.587467,-9.33477
2017p423831KHZ,2017p423831,5,6,KHZ,C,-8.182845,-11.70651,-15.445151,-10.886987
2022p524975APPS,2022p524975,10,7,APPS,C,-5.530912,-9.62283,-12.952621,-7.994523
2017p645834KHZ,2017p645834,5,8,KHZ,C,-4.890933,-8.82433,-12.439267,-8.558765
2016p873796MOLS,2016p873796,4,11,MOLS,C,-7.291015,-11.464135,-15.320588,-9.281836
2020p088170DHSS,2020p088170,8,2,DHSS,C,-7.252887,-10.908609,-14.306534,-9.92778
2015p680142AKSS,2015p680142,3,9,AKSS,C,-4.497312,-9.065435,-13.132414,-8.063093
2019p032738HAZ,2019p032738,7,1,HAZ,C,-3.68365,-7.753322,-11.235294,-8.229041
2013p818115AKSS,2013p818115,1,10,AKSS,C,-5.493837,-9.92778,-13.84391,-7.9711
2016p953476MOLS,2016p953476,4,12,MOLS,C,-4.06205,-8.057969,-11.512925,-7.177423
2016p953476KHZ,2016p953476,4,12,KHZ,C,-2.787492,-6.54814,-10.172675,-6.093646
2016p897181MOLS,2016p897181,4,11,MOLS,C,-5.582176,-9.802738,-13.211195,-6.925943
2016p367082WAZ,2016p367082,4,5,WAZ,C,-6.851855,-10.809828,-14.145404,-9.758522
2017p006416KHZ,2017p006416,5,1,KHZ,C,-7.975573,-11.127663,-14.574798,-11.141362
2013p504316HVSC,2013p504316,1,7,HVSC,C,-0.931675,-5.000256,-8.709935,-3.934111
2018p272455KHZ,2018p272455,6,4,KHZ,C,-4.604169,-8.559276,-11.807297,-8.872662
2018p006673KHZ,2018p006673,6,1,KHZ,C,-6.854604,-10.368703,-13.702182,-9.889585
2020p816844HVSC,2020p816844,8,10,HVSC,C,-1.423144,-5.507752,-9.310161,-4.534965
2020p816844MENS,2020p816844,8,10,MENS,C,-0.730889,-4.922213,-8.694366,-3.528732
2017p038221KHZ,2017p038221,5,1,KHZ,C,-6.022702,-9.34273,-12.923513,-9.413681
2016p877441MOLS,2016p877441,4,11,MOLS,C,-6.700212,-10.427736,-13.584399,-8.258868
2021p535639GOVS,2021p535639,9,7,GOVS,C,-3.726616,-8.124638,-12.061107,-6.834423
2019p465190HAZ,2019p465190,7,6,HAZ,C,-9.104324,-12.298188,-14.885535,-11.454657
2018p354341KHZ,2018p354341,6,5,KHZ,C,-5.892085,-8.855116,-12.037174,-8.372249
2016p979385KHZ,2016p979385,4,12,KHZ,C,-7.799392,-11.589807,-14.989925,-10.553575
2016p979385MOLS,2016p979385,4,12,MOLS,C,-6.927559,-10.719933,-13.684482,-8.95871
2013p613868MKVS,2013p613868,1,8,MKVS,C,-5.305742,-9.242864,-13.040783,-5.057599
2017p470787KHZ,2017p470787,5,6,KHZ,C,-2.356706,-6.771376,-10.519674,-6.661043
2016p870411KHZ,2016p870411,4,11,KHZ,C,-6.35748,-10.04275,-12.915349,-8.417982
2016p870411MOLS,2016p870411,4,11,MOLS,C,-7.834826,-11.532108,-14.186574,-9.820986
2017p189038KHZ,2017p189038,5,3,KHZ,C,-8.269494,-11.865324,-15.272227,-9.815477
2017p229963KHZ,2017p229963,5,3,KHZ,C,-5.78017,-10.089817,-13.970995,-9.603383
2019p708617MENS,2019p708617,7,9,MENS,C,-3.276022,-7.375622,-11.10746,-6.131552
2017p122915KHZ,2017p122915,5,2,KHZ,C,-4.760297,-8.498347,-12.082087,-7.742491
2017p122915MOLS,2017p122915,5,2,MOLS,C,-4.495483,-8.516324,-12.333906,-7.139887
2017p666283KHZ,2017p666283,5,9,KHZ,C,-2.815739,-6.736198,-9.545813,-5.589662
2016p902126MOLS,2016p902126,4,11,MOLS,C,-6.826515,-10.95331,-14.764841,-8.653666
2013p543826MKVS,2013p543826,1,7,MKVS,C,-5.296748,-7.201832,-12.087401,-5.659477
2016p976721KHZ,2016p976721,4,12,KHZ,C,-4.271718,-8.468284,-12.340748,-7.797959
2017p814682HAZ,2017p814682,5,10,HAZ,C,-5.890064,-8.886411,-11.643034,-10.08741
2016p871700KHZ,2016p871700,4,11,KHZ,C,-3.692623,-8.071966,-11.797944,-7.786206
2016p871700MOLS,2016p871700,4,11,MOLS,C,-4.076429,-8.346729,-11.992575,-7.33721
2014p237547AKSS,2014p237547,2,3,AKSS,C,-3.996291,-8.214318,-11.789997,-7.410285
2022p529875MOLS,2022p529875,10,7,MOLS,C,-6.257505,-10.538366,-14.007882,-7.813435
2018p022125MOLS,2018p022125,6,1,MOLS,C,-7.51798,-11.258283,-14.6974,-8.095848
2018p022125KHZ,2018p022125,6,1,KHZ,C,-7.64794,-11.699255,-14.323008,-9.921652
2016p869535KHZ,2016p869535,4,11,KHZ,C,-8.113473,-12.129112,-16.315328,-11.297814
2017p236227KHZ,2017p236227,5,3,KHZ,C,-5.476641,-9.289384,-12.723587,-8.765437
2021p025233INGS,2021p025233,9,1,INGS,C,-6.833768,-10.747458,-13.952476,-9.016576
2021p025233MOLS,2021p025233,9,1,MOLS,C,-6.485919,-9.997798,-13.493427,-8.865808
2021p025233KHZ,2021p025233,9,1,KHZ,C,-8.015285,-11.258283,-14.746915,-11.593052
2020p427504TUDS,2020p427504,8,6,TUDS,C,-3.10927,-6.931921,-10.286213,-6.558813
2020p075183SJFS,2020p075183,8,1,SJFS,C,-9.098951,-12.431719,-15.371408,-10.756803
2017p009205KHZ,2017p009205,5,1,KHZ,C,-7.725575,-10.761509,-13.953624,-10.349775
2013p645701KHZ,2013p645701,1,8,KHZ,C,-7.601897,-10.90316,-14.078175,-8.463169
2015p885942AKSS,2015p885942,3,11,AKSS,C,-6.02657,-10.444772,-14.319692,-8.555742
2016p899487SJFS,2016p899487,4,11,SJFS,C,-7.215014,-11.042922,-14.056309,-10.231992
2016p899487MOLS,2016p899487,4,11,MOLS,C,-6.435865,-10.391248,-14.173615,-9.525051
2017p423765KHZ,2017p423765,5,6,KHZ,C,-9.441012,-12.446871,-16.192819,-10.315977
2018p204176KHZ,2018p204176,6,3,KHZ,C,-6.40459,-10.790219,-14.028704,-9.604866
2018p573142KHZ,2018p573142,6,8,KHZ,C,-5.331665,-9.418595,-12.973943,-9.039139
2016p904653MOLS,2016p904653,4,11,MOLS,C,-4.759079,-8.814522,-12.416794,-5.29817
2017p807261GOVS,2017p807261,5,10,GOVS,C,-4.060903,-8.10629,-11.120883,-6.653533
2017p807261DHSS,2017p807261,5,10,DHSS,C,-3.35018,-7.406555,-10.892349,-6.876074
2014p050590AKSS,2014p050590,2,1,AKSS,C,-6.446949,-10.588667,-13.92756,-9.22647
2017p788295KHZ,2017p788295,5,10,KHZ,C,-9.615306,-12.64924,-15.552782,-12.188233
2019p481025HAZ,2019p481025,7,6,HAZ,C,-9.056204,-11.90006,-14.062691,-10.785377
2017p822108HAZ,2017p822108,5,11,HAZ,C,-4.835505,-8.286927,-11.408565,-8.369761
2016p974987KHZ,2016p974987,4,12,KHZ,C,-6.633506,-10.747458,-14.343143,-8.855138
2016p974987MOLS,2016p974987,4,12,MOLS,C,-4.355396,-8.507986,-11.995812,-7.967178
2016p909129KHZ,2016p909129,4,12,KHZ,C,-4.983134,-8.810578,-12.263702,-8.14533
2016p909129MOLS,2016p909129,4,12,MOLS,C,-6.263439,-10.089817,-14.104527,-7.175559
2017p426147KHZ,2017p426147,5,6,KHZ,C,-6.502784,-10.047358,-13.233295,-8.400282
2019p503743TPPS,2019p503743,7,7,TPPS,C,-5.71343,-9.078549,-10.89774,-7.676454
2019p568327MOLS,2019p568327,7,7,MOLS,C,-4.840107,-9.036639,-12.859999,-8.047043
2019p568327KHZ,2019p568327,7,7,KHZ,C,-6.336961,-10.542147,-13.842882,-9.950579
2017p511240KHZ,2017p511240,5,7,KHZ,C,-7.966255,-11.943708,-14.980263,-11.616066
